"id","GDPC_code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"1","ABW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151263272966048,0.16236992034807,0.166528451859216,0.172160763001256,0.179853921347987,0.179806662560388,0.178865853966308,0.189641204502539,0.191503564617839,0.192855278080059,0.207867932847341,0.201578295244262,0.193697342628698,0.196992723450784,0.214498170304473,0.220969635880796,0.228216397185891,0.237651240141943,0.241729324832644,0.217740592219084,0.211713943165632,0.222758610119541,0.2178463490825,0.236721585801499,0.236504075964804,0.238586249611514,0.242442667099949,0.249471029166909,0.249471029166909,0.249471029166909
"2","AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569136193544612,0.00602130704833727,0.00600562892325165,0.00663906652783529,0.00699410742426122,0.00797364303052839,0.00825833019411674,0.00986200464954872,0.0111007354667586,0.0110287824676488,0.0124258775748255,0.0130796311074178,0.0134294765502142,0.0135455127589614,0.0128563770406971,0.0133578275039011,0.0135196624221736,0.0139940272679206
"3","AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212939977610991,0.021505393559656,0.0200429500760848,0.0150987032364607,0.0151315374584691,0.0172037261008585,0.0192623389997235,0.020354342327183,0.0208643416311621,0.0209358760008517,0.0213465415917876,0.0219941041917619,0.024563634434635,0.0249117563436523,0.0274210522657578,0.0313941933675166,0.0347966930431022,0.0392652717347745,0.0428778484850665,0.0419912648882261,0.0427525690525501,0.0435492371088816,0.0481062422657904,0.0498552325900893,0.0530793253828426,0.0476169638344546,0.0460961970970204,0.0474439037153264,0.0460908753979407,0.0452025020699486
"4","ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165406672589874,0.0123860969692592,0.0118293958268726,0.0133484802086296,0.0148564151386825,0.0172951546948926,0.0193343033895616,0.0176299110868571,0.0196042491548067,0.0225292222403207,0.025065490343138,0.0279137102547626,0.0302498968218874,0.0324144318552507,0.0351937240761229,0.0380628235765571,0.0425566785538896,0.0472078357920815,0.0533975143526437,0.0572339777775524,0.0625332729063666,0.0662428169314665,0.0683102689327161,0.0686000182845138,0.0730669085291375,0.0756599033309448,0.0783850582718231,0.0831415744422149,0.0906839792045848,0.0950595443783288
"5","AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444654031110771,0.0481480733886149,0.0507554801288584,0.052032977301267,0.0532920224019104,0.0541613328605524,0.0563472787759042,0.0583868620680557,0.061005252538203,0.0618022275708922,0.0651783556075572,0.0662562002447077,0.0661985236518679,0.0691821232233621,0.0758429213014806,0.0807618819331773,0.0862654346337886,0.0903265628913602,0.095144626490944,0.0942742822864933,0.0975573500223598,0.100670759720509,0.10741923686865,0.10714135055287,0.105257964801473,0.0948671340778389,0.0910202593101327,0.0945018685815877,0.0972468112881307,0.099005608925099
"7","ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566054322519514,0.557103928551171,0.555660564517592,0.544127457314847,0.562678232102978,0.58226470346103,0.596662561300078,0.624157389133174,0.601106088982753,0.595152159586613,0.638328836134373,0.627678734292737,0.620069007597845,0.644004562356504,0.66109246940859,0.633826843593015,0.620901681432394,0.565244071652065,0.517411888212787,0.442364340425041,0.421049093674503,0.439249059117965,0.448438791911887,0.456691642184529,0.477749208629909,0.421178854365371,0.415124187494131,0.435986369920084,0.44517541014451,0.454842816970561
"8","ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466962495529877,0.0519512572739256,0.056582380054932,0.0618634293896683,0.066031205704122,0.0646974597410419,0.0686982849395106,0.0746802021660688,0.0775454195533388,0.0751603725597712,0.0753998701914313,0.0728565239224788,0.0652353466210989,0.071547650206219,0.0792672330825901,0.0880541535070833,0.0970288451450239,0.10753064982476,0.112943244159828,0.106003863798672,0.117212445925081,0.125391082532668,0.12746204059377,0.130644008348247,0.127737315249326,0.130472157789054,0.131787386281586,0.15313287235162,0.151294405700471,0.149519340071569
"9","ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180013951521925,0.0165870673852517,0.0100527459595141,0.00960776399218926,0.0105930459967819,0.0117997251184852,0.0129178026791225,0.0137292058660282,0.0150141808744524,0.0158337391110373,0.0172512889779099,0.0194418649435072,0.0224794312415991,0.0262412448816443,0.0299480257917513,0.0354028181706684,0.0416092497984419,0.0490061417680051,0.0538657679272686,0.0469386540625532,0.0487119931014167,0.052080964638683,0.0607700768460618,0.0638293785182774,0.0651341315013354,0.0646980094149048,0.0694648399554463,0.0786203424466006,0.0845234129291872,0.092526670943039
"10","ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752460809557639,0.0784315027037066,0.0797586206543534,0.0842525404711437,0.0898478623764753,0.085859732120978,0.0912099140693467,0.0957699751079048,0.0993243764332663,0.102465122656229,0.109290051734877,0.10495637330339,0.106222053211466,0.113314680914454,0.121489005310588,0.131534780268169,0.150448605807895,0.166224367995144,0.166713194010441,0.14558885964812,0.133760471906953,0.132042516639132,0.127178044711939,0.12197870205525,0.123553116816728,0.122730984733418,0.129262465649443,0.128751649934511,0.140368478612035,0.148477637708664
"12","AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112469230841717,0.11541212059304,0.117947801116741,0.124063156682462,0.130115738993243,0.135478511937754,0.142497516101402,0.148769720603027,0.156862044684091,0.163952425144649,0.170812331466817,0.177639343770959,0.186366266908428,0.192962685701674,0.203173805207342,0.211395051470151,0.222516675177848,0.237157072221079,0.243091187523413,0.261530688603955,0.255045015073021,0.272333084967006,0.277923319732088,0.297880127682247,0.304227953638067,0.300386923916945,0.307211479748895,0.31560343341704,0.333497310819688,0.346397669976869
