Country Code,2019
ABW,
AFG,173
AGO,177
ALB,82
AND,
ARB,
ARE,16
ARG,126
ARM,47
ASM,
ATG,113
AUS,14
AUT,27
AZE,34
BDI,166
BEL,46
BEN,149
BFA,151
BGD,168
BGR,61
BHR,43
BHS,119
BIH,90
BLR,49
BLZ,135
BMU,
BOL,150
BRA,124
BRB,128
BRN,66
BTN,89
BWA,87
CAF,184
CAN,23
CEB,
CHE,36
CHI,
CHL,59
CHN,31
CIV,110
CMR,167
COD,183
COG,180
COL,67
COM,160
CPV,137
CRI,74
CSS,
CUB,
CUW,
CYM,
CYP,54
CZE,41
DEU,22
DJI,112
DMA,111
DNK,4
DOM,115
DZA,157
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,129
EGY,114
EMU,
ERI,189
ESP,30
EST,18
ETH,159
EUU,
FCS,
FIN,20
FJI,102
FRA,32
FRO,
FSM,158
GAB,169
GBR,8
GEO,7
GHA,118
GIB,
GIN,156
GMB,155
GNB,174
GNQ,178
GRC,79
GRD,146
GRL,
GTM,96
GUM,
GUY,134
HIC,
HKG,3
HND,133
HPC,
HRV,51
HTI,179
HUN,52
IBD,
IBT,
IDA,
IDB,
IDN,73
IDX,
IMN,
IND,63
INX,
IRL,24
IRN,127
IRQ,172
ISL,26
ISR,35
ITA,58
JAM,71
JOR,75
JPN,29
KAZ,25
KEN,56
KGZ,80
KHM,144
KIR,164
KNA,139
KOR,5
KWT,83
LAC,
LAO,154
LBN,143
LBR,175
LBY,186
LCA,93
LCN,
LDC,
LIC,
LIE,
LKA,99
LMC,
LMY,
LSO,122
LTE,
LTU,11
LUX,72
LVA,19
MAC,
MAF,
MAR,53
MCO,
MDA,48
MDG,161
MDV,147
MEA,
MEX,60
MHL,153
MIC,
MKD,17
MLI,148
MLT,88
MMR,165
MNA,
MNE,50
MNG,81
MNP,
MOZ,138
MRT,152
MUS,13
MWI,109
MYS,12
NAC,
NAM,104
NCL,
NER,132
NGA,131
NIC,142
NLD,42
NOR,9
NPL,94
NRU,
NZL,1
OED,
OMN,68
OSS,
PAK,108
PAN,86
PER,76
PHL,95
PLW,145
PNG,120
POL,40
PRE,
PRI,65
PRK,
PRT,39
PRY,125
PSE,117
PSS,
PST,
PYF,
QAT,77
ROU,55
RUS,28
RWA,38
SAS,
SAU,62
SDN,171
SEN,123
SGP,2
SLB,136
SLE,163
SLV,91
SMR,92
SOM,190
SRB,44
SSA,
SSD,185
SSF,
SST,
STP,170
SUR,162
SVK,45
SVN,37
SWE,10
SWZ,121
SXM,
SYC,100
SYR,176
TCA,
TCD,182
TEA,
TEC,
TGO,97
THA,21
TJK,106
TKM,
TLA,
TLS,181
TMN,
TON,103
TSA,
TSS,
TTO,105
TUN,78
TUR,33
TUV,
TZA,141
UGA,116
UKR,64
UMC,
URY,101
USA,6
UZB,69
VCT,130
VEN,188
VGB,
VIR,
VNM,70
VUT,107
WLD,
WSM,98
XKX,57
YEM,187
ZAF,84
ZMB,85
ZWE,140
