Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,42.7,,,,,,,,,,51.3,
ALB,,,,,,,,,,,,,,,,,27,,,,,,31.7,,,30.6,,,30,,,,29,,34.6,32.9,33.7,33.2,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,32.5,,,,26,
ARG,40.8,,,,,,42.8,45.3,,,,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.9,48.4,47.7,46.3,46.2,44.9,43.7,43.6,42.6,41.3,40.9,41.6,,42,41.1,41.3,42.9
ARM,,,,,,,,,,,,,,,,,,,,36.2,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,29.9
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,31.3,,,,32.5,,,,33.2,,,,,,32.6,,,,,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,34.4,,,,,
AUT,,,,,,,,23,,,,,,,31.3,31.1,,30.2,,,28.8,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,
AZE,,,,,,,,,,,,,,,,34.7,,,,,,36.5,25.3,26.8,26.6,26.6,,,,,,,,,,,,,,
BDI,,,,,,,,,,,,,33.3,,,,,,42.3,,,,,,,,33.4,,,,,,,38.6,,,,,,
BEL,,,,,,25.2,,,25.7,,,,25,,,28.4,,26.8,,,33.1,,,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,
BEN,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,43.4,,,,47.8,,,,
BFA,,,,,,,,,,,,,,,48.1,,,,49.9,,,,,43.3,,,,,,39.8,,,,,35.3,,,,,
BGD,,,,25.9,,26.9,,,28.8,,,27.6,,,,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,38.6,40.6,40.4,41.3,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
