"","countries","normalized_pov_mean","normalized_busi","normalized_gini","normalized_gender_eq","normalized_child_ed"
"1","Aruba","0.334772853104875","0.49774642367235","0.353410564491931","0.399301406401204","0.00000012093988"
"2","Afghanistan","0.697831978319783","0.08994708994709","0.353410564491931","1","0.03419485141672"
"3","Angola","0.397018970189702","0.0687830687830688","0.694117647058824","0.5","0.01336967864547"
"4","Albania","0.153116531165312","0.571428571428571","0.222657952069718","0.166666666666667","0.00006561506565"
"5","Andorra","0.334772853104875","0.49774642367235","0.353410564491931","0.399301406401204","0.05173524123275"
"6","Arab World","0.334772853104875","0.49774642367235","0.353410564491931","0.615555555555557","0.13019581202488"
"7","United Arab Emirates","0.334772853104875","0.920634920634921","0.0326797385620915","0.399301406401204","0.00004985026492"
"8","Argentina","0.377710027100271","0.338624338624339","0.44640522875817","0.399301406401204","0.00023423750288"
"9","Armenia","0.317073170731707","0.756613756613757","0.204183006535948","0","0.00021136489288"
"10","American Samoa","0.334772853104875","0.49774642367235","0.353410564491931","0.399301406401204","0.05173524123275"
"11","Antigua and Barbuda","0.334772853104875","0.407407407407407","0.353410564491931","0.399301406401204","0.00000240727943"
"12","Australia","0.334772853104875","0.931216931216931","0.252287581699346","0.399301406401204","0.00008405753283"
"13","Austria","0.149390243902439","0.862433862433862","0.149019607843137","0.399301406401204","0.00001065566690"
"14","Azerbaijan","0.040650406504065","0.825396825396825","0.0483660130718955","0.166666666666667","0.00035581893573"
"15","Burundi","0.838753387533875","0.126984126984127","0.362091503267974","0.166666666666667","0.00189772517853"
"16","Belgium","0.159891598915989","0.761904761904762","0.0712418300653595","0.399301406401204","0.00008270991707"
"17","Benin","0.491869918699187","0.216931216931217","0.602614379084967","0.333333333333333","0.00129329071642"
"18","Burkina Faso","0.520325203252033","0.206349206349206","0.275816993464052","0.333333333333333","0.01334805805114"
"19","Bangladesh","0.288617886178862","0.116402116402116","0.2","0.433333333333333","0.01388688666206"
"20","Bulgaria","0.281842818428184","0.682539682539683","0.404575163398693","0.399301406401204","0.00054343901175"
"21","Bahrain","0.334772853104875","0.777777777777778","0.353410564491931","0.399301406401204","0.00002522805805"
"22","Bahamas, The","0.334772853104875","0.375661375661376","0.353410564491931","0.399301406401204","0.00013772172311"
"23","Bosnia and Herzegovina","0.188346883468835","0.529100529100529","0.215686274509804","0.166666666666667","0.05173524123275"
