"","countries","country_code",""
"1","Aruba","ABW","3.53410564491931"
"2","Afghanistan","AFG","3.53410564491931"
"3","Angola","AGO","6.94117647058824"
"4","Albania","ALB","2.22657952069718"
"5","Andorra","AND","3.53410564491931"
"6","Arab World","ARB","3.53410564491931"
"7","United Arab Emirates","ARE","0.326797385620915"
"8","Argentina","ARG","4.4640522875817"
"9","Armenia","ARM","2.04183006535948"
"10","American Samoa","ASM","3.53410564491931"
"11","Antigua and Barbuda","ATG","3.53410564491931"
"12","Australia","AUS","2.52287581699346"
"13","Austria","AUT","1.49019607843137"
"14","Azerbaijan","AZE","0.483660130718955"
"15","Burundi","BDI","3.62091503267974"
"16","Belgium","BEL","0.712418300653595"
"17","Benin","BEN","6.02614379084967"
"18","Burkina Faso","BFA","2.75816993464052"
"19","Bangladesh","BGD","2"
"20","Bulgaria","BGR","4.04575163398693"
"21","Bahrain","BHR","3.53410564491931"
"22","Bahamas, The","BHS","3.53410564491931"
"23","Bosnia and Herzegovina","BIH","2.15686274509804"
"24","Belarus","BLR","0.159477124183006"
"25","Belize","BLZ","7.4640522875817"
"26","Bermuda","BMU","3.53410564491931"
"27","Bolivia","BOL","5.07450980392157"
"28","Brazil","BRA","7.42745098039216"
"29","Barbados","BRB","3.53410564491931"
"30","Brunei Darussalam","BRN","3.53410564491931"
"31","Bhutan","BTN","3.30718954248366"
"32","Botswana","BWA","7.4640522875817"
"33","Central African Republic","CAF","8.22222222222222"
"34","Canada","CAN","2.21786492374727"
"35","Central Europe and the Baltics","CEB","3.53410564491931"
"36","Switzerland","CHE","2.09803921568627"
"37","Channel Islands","CHI","3.53410564491931"
"38","Chile","CHL","5.13725490196078"
"39","China","CHN","3.6078431372549"
"40","Cote d'Ivoire","CIV","4.37908496732026"
"41","Cameroon","CMR","5.7124183006536"
"42","Congo, Dem. Rep.","COD","4.5359477124183"
"43","Congo, Rep.","COG","6.31372549019608"
"44","Colombia","COL","6.75816993464052"
"45","Comoros","COM","5.37254901960784"
"46","Cabo Verde","CPV","4.61437908496732"
"47","Costa Rica","CRI","6.16209150326797"
"48","Caribbean small states","CSS","3.53410564491931"
"49","Cuba","CUB","3.53410564491931"
"50","Curacao","CUW","3.53410564491931"
"51","Cayman Islands","CYM","3.53410564491931"
"52","Cyprus","CYP","2.09150326797386"
"53","Czech Republic","CZE","0.143790849673203"
"54","Germany","DEU","1.84313725490196"
"55","Djibouti","DJI","4.40522875816993"
"56","Dominica","DMA","3.53410564491931"
"57","Denmark","DNK","0.934640522875817"
"58","Dominican Republic","DOM","4.96470588235294"
"59","Algeria","DZA","0.745098039215687"
"60","East Asia & Pacific (excluding high income)","EAP","3.53410564491931"
"61","Early-demographic dividend","EAR","3.53410564491931"
"62","East Asia & Pacific","EAS","3.53410564491931"
"63","Europe & Central Asia (excluding high income)","ECA","3.53410564491931"
"64","Europe & Central Asia","ECS","3.53410564491931"
"65","Ecuador","ECU","5.38823529411765"
"66","Egypt, Arab Rep.","EGY","1.80392156862745"
"67","Euro area","EMU","3.53410564491931"
"68","Eritrea","ERI","3.53410564491931"
"69","Spain","ESP","2.77124183006536"
"70","Estonia","EST","1.67320261437908"
"71","Ethiopia","ETH","2.6797385620915"
"72","European Union","EUU","3.53410564491931"
"73","Fragile and conflict affected situations","FCS","3.53410564491931"
